                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1817,                 4.5081,                 3.2652,                      0,                      0,                      0,                      0,                  2.611,                 4.6835,                 2.4522,             0.00021435,             0.00021435,             0.00021435
                      2,                  2.183,                 3.3992,                 2.1121,                0.00395,                0.03299,                0.01349,                0.00697,                 2.2063,                 4.1782,                 2.5078,             0.00044211,             0.00044211,             0.00044211
                      3,                 1.6163,                 2.3141,                 1.5984,                0.00563,                0.08669,                0.08047,                0.05845,                 1.8146,                 3.8306,                 2.3477,             0.00066897,             0.00066897,             0.00066897
                      4,                 1.4211,                 1.7776,                 1.5069,                 0.0173,                0.23874,                0.20065,                0.13678,                 1.4773,                 3.1292,                 1.7288,             0.00089492,             0.00089492,             0.00089492
                      5,                 1.2787,                 1.5404,                 1.3869,                      1,                0.15251,                0.25765,                0.18369,                  1.184,                 2.5827,                 1.3557,                0.00112,                0.00112,                0.00112
                      6,                 1.1505,                 1.3937,                 1.3339,                0.85593,                0.09176,                0.12868,                0.10193,                0.99885,                 1.9932,                 1.2421,              0.0013441,              0.0013441,              0.0013441
                      7,                 1.1633,                 1.3612,                 1.3399,                0.83566,                0.11674,                0.14441,                0.11603,                0.96586,                 1.6617,                 1.2252,               0.001412,               0.001412,               0.001412
                      8,                 1.0265,                 1.1903,                 1.2526,                0.89849,                0.19004,                  0.243,                 0.1897,                0.99836,                 1.9222,                    1.2,              0.0014092,              0.0014092,              0.0014092
                      9,                0.96502,                  1.146,                 1.2432,                 0.9737,                0.30481,                0.35728,                0.29001,                0.89179,                 1.3357,                 1.1378,              0.0014064,              0.0014064,              0.0014064
                     10,                0.89799,                 1.0688,                  1.198,                0.98401,                0.59145,                0.62104,                0.52354,                0.79328,                   1.08,                 1.0988,              0.0014035,              0.0014035,              0.0014035
                     11,                 0.8728,                 1.0034,                 1.1803,                 0.6319,                0.59146,                0.64135,                0.53926,                0.81483,                 1.0574,                 1.1142,              0.0014007,              0.0014007,              0.0014007
                     12,                0.88677,                  1.021,                 1.1974,                0.66823,                0.63286,                 0.6483,                0.54804,                0.78455,                0.94098,                 1.1012,              0.0013979,              0.0013979,              0.0013979
                     13,                0.86379,                0.96121,                 1.1845,                 0.7451,                0.63995,                0.65738,                0.56598,                0.72443,                0.85134,                 1.0457,               0.001395,               0.001395,               0.001395
                     14,                0.86436,                0.95803,                 1.1951,                0.70687,                0.65777,                0.66891,                 0.5517,                 0.7147,                  0.842,                 1.0406,              0.0013922,              0.0013922,              0.0013922
                     15,                0.79442,                0.86213,                 1.1423,                0.76933,                0.63766,                0.67029,                0.57426,                0.70163,                0.80852,                 1.0342,              0.0013894,              0.0013894,              0.0013894
                     16,                0.79701,                0.88315,                  1.158,                0.72235,                0.63844,                0.66487,                0.55861,                0.73076,                0.83299,                 1.0343,              0.0013866,              0.0013866,              0.0013866
                     17,                0.76627,                0.85333,                 1.1493,                0.70571,                 0.6317,                0.65749,                0.57949,                0.68324,                 0.8039,                 1.0314,              0.0013837,              0.0013837,              0.0013837
                     18,                 0.7904,                0.82725,                 1.1561,                0.71703,                0.62598,                0.66908,                0.56876,                0.71285,                0.76859,                 1.0511,              0.0013809,              0.0013809,              0.0013809
                     19,                0.78358,                0.82632,                 1.1468,                0.72677,                0.66219,                0.68878,                0.58106,                0.71544,                0.78449,                   1.05,              0.0013781,              0.0013781,              0.0013781
                     20,                0.75539,                0.79223,                 1.1389,                0.75528,                0.67058,                 0.6931,                0.58705,                0.68717,                 0.7239,                 1.0307,              0.0013752,              0.0013752,              0.0013752
                     21,                0.74891,                 0.7671,                 1.1296,                0.72636,                0.71837,                0.69767,                0.59622,                0.69563,                0.75682,                  1.041,              0.0013724,              0.0013724,              0.0013724
                     22,                0.71886,                0.72451,                 1.1212,                0.73029,                0.77038,                0.70271,                0.59498,                0.70466,                0.70901,                 1.0478,              0.0013696,              0.0013696,              0.0013696
                     23,                0.72779,                0.71222,                 1.1352,                0.76254,                0.74966,                 0.7249,                0.60834,                0.65375,                0.61208,                 1.0043,              0.0013668,              0.0013668,              0.0013668
                     24,                0.70372,                0.70021,                 1.1063,                 0.7427,                0.67566,                0.69577,                0.57356,                0.73132,                0.71874,                  1.069,              0.0013639,              0.0013639,              0.0013639
                     25,                0.69437,                0.68688,                 1.1109,                0.76067,                0.68973,                0.70847,                 0.5793,                0.72619,                0.69942,                 1.0758,              0.0013611,              0.0013611,              0.0013611
                     26,                0.71951,                0.71045,                 1.1323,                0.72661,                0.73692,                0.72925,                0.61285,                0.62886,                0.58674,                0.99808,              0.0013583,              0.0013583,              0.0013583
                     27,                0.70268,                0.68755,                 1.1175,                0.75738,                0.80351,                0.75413,                0.63325,                0.61538,                0.60076,                 1.0213,              0.0013554,              0.0013554,              0.0013554
                     28,                0.69119,                0.68847,                 1.1311,                0.77242,                0.75244,                0.72824,                0.60961,                 0.6318,                0.60862,                 1.0055,              0.0013526,              0.0013526,              0.0013526
                     29,                0.68511,                0.65348,                 1.1091,                0.77663,                0.75966,                0.73752,                0.61007,                0.63734,                0.58819,                 1.0038,              0.0013498,              0.0013498,              0.0013498
                     30,                0.68519,                0.63223,                 1.1133,                0.76675,                0.78979,                0.77858,                0.63743,                0.61694,                0.55256,                0.99416,              0.0013469,              0.0013469,              0.0013469
                     31,                0.69061,                0.63597,                 1.1122,                0.81717,                0.74533,                0.75635,                0.60859,                0.73278,                0.68577,                 1.0606,              0.0013441,              0.0013441,              0.0013441
                     32,                0.68733,                0.64364,                 1.1098,                0.74918,                0.73393,                 0.7369,                0.59678,                0.73527,                 0.6228,                 1.0666,              0.0013413,              0.0013413,              0.0013413
                     33,                0.72134,                0.66019,                 1.1331,                0.76605,                0.73434,                0.75928,                0.62749,                0.64841,                 0.6619,                 1.0453,              0.0013385,              0.0013385,              0.0013385
                     34,                0.65957,                0.61428,                 1.0978,                0.80589,                0.77757,                0.77912,                0.63691,                 0.6432,                0.56272,                 1.0111,              0.0013356,              0.0013356,              0.0013356
                     35,                0.67473,                0.58428,                 1.0951,                0.79245,                 0.8021,                0.78991,                 0.6393,                0.63686,                0.52547,                  1.007,              0.0013328,              0.0013328,              0.0013328
                     36,                0.64691,                0.58665,                 1.0995,                0.77423,                0.82442,                 0.7689,                0.64424,                0.58388,                0.51457,                0.97668,                0.00133,                0.00133,                0.00133
                     37,                0.64504,                0.56562,                 1.0918,                0.81899,                0.80675,                0.80539,                0.65008,                0.60859,                0.52771,                 0.9996,              0.0013271,              0.0013271,              0.0013271
                     38,                0.64191,                0.55164,                 1.0882,                0.84436,                0.78828,                0.80013,                0.65893,                0.59272,                0.48896,                0.98489,              0.0013243,              0.0013243,              0.0013243
                     39,                0.64514,                 0.5501,                 1.0919,                0.86165,                0.80224,                0.81274,                0.66693,                0.59198,                0.48509,                0.99507,              0.0013215,              0.0013215,              0.0013215
                     40,                 0.6193,                0.54503,                 1.0998,                0.84445,                0.80794,                0.80757,                 0.6687,                0.57797,                0.48092,                0.99711,              0.0013187,              0.0013187,              0.0013187
                     41,                0.62496,                0.53399,                 1.0922,                0.85114,                0.78902,                0.81228,                0.67965,                0.57663,                0.48369,                0.99183,              0.0013158,              0.0013158,              0.0013158
                     42,                0.62321,                0.52966,                 1.0887,                0.83711,                0.80443,                 0.8302,                0.67932,                0.60074,                 0.4836,                0.98947,               0.001313,               0.001313,               0.001313
                     43,                0.61938,                0.53667,                 1.0782,                0.87154,                 0.8194,                0.84646,                0.67687,                0.61432,                 0.4745,                 1.0013,              0.0013102,              0.0013102,              0.0013102
                     44,                0.60069,                  0.509,                 1.0618,                0.84874,                 0.8219,                0.83472,                0.67659,                0.60001,                0.48877,                0.97973,              0.0013073,              0.0013073,              0.0013073
                     45,                0.60936,                0.50931,                 1.0744,                0.84318,                0.83363,                 0.8388,                 0.6801,                0.56027,                 0.4764,                0.97849,              0.0013045,              0.0013045,              0.0013045
                     46,                0.59699,                0.49658,                 1.0768,                0.86595,                0.83619,                 0.8368,                0.66653,                0.59351,                0.50075,                0.99465,              0.0013017,              0.0013017,              0.0013017
                     47,                 0.6124,                0.50632,                 1.0656,                0.86284,                0.81515,                0.83259,                0.67038,                0.57068,                0.47218,                0.98026,              0.0012988,              0.0012988,              0.0012988
                     48,                0.61622,                0.51086,                 1.0719,                0.84926,                0.85147,                0.84369,                0.67877,                0.59319,                0.49477,                0.99286,               0.001296,               0.001296,               0.001296
                     49,                 0.6001,                0.50156,                 1.0854,                 0.8594,                0.80555,                0.82519,                0.66368,                0.62692,                0.48794,                 1.0153,              0.0012932,              0.0012932,              0.0012932
                     50,                0.59727,                0.50329,                 1.0847,                0.85953,                0.85894,                0.86323,                0.70444,                0.55417,                0.43932,                0.96979,              0.0012904,              0.0012904,              0.0012904
                     51,                0.59955,                0.50096,                 1.0699,                0.87649,                0.87648,                0.87527,                0.70219,                0.55451,                0.44549,                0.97988,              0.0012875,              0.0012875,              0.0012875
                     52,                 0.5758,                0.49504,                 1.0639,                 0.8719,                0.85781,                0.87197,                0.69603,                0.58907,                0.43612,                 0.9944,              0.0012847,              0.0012847,              0.0012847
                     53,                0.60028,                0.48842,                 1.0618,                0.92498,                 0.8519,                0.89283,                0.70303,                0.57144,                 0.4556,                  1.002,              0.0012819,              0.0012819,              0.0012819
                     54,                0.57746,                0.48739,                 1.0485,                0.85917,                 0.8597,                0.88934,                0.71311,                0.54991,                0.42545,                0.99693,               0.001279,               0.001279,               0.001279
                     55,                0.59554,                0.50134,                 1.0812,                0.90615,                0.84098,                0.88897,                0.70536,                0.53983,                0.44953,                0.98303,              0.0012762,              0.0012762,              0.0012762
                     56,                0.58569,                0.46996,                 1.0465,                0.90983,                0.83416,                0.88465,                0.68803,                0.56902,                0.47009,                  0.999,              0.0012734,              0.0012734,              0.0012734
                     57,                0.58591,                0.47259,                 1.0589,                0.84826,                0.87466,                0.91459,                0.71798,                0.55086,                0.46308,                0.98548,              0.0012706,              0.0012706,              0.0012706
                     58,                 0.5747,                0.47417,                 1.0729,                0.87483,                0.89584,                0.90617,                 0.7125,                0.53749,                0.43796,                0.97053,              0.0012677,              0.0012677,              0.0012677
                     59,                0.57583,                0.46814,                 1.0687,                0.88316,                0.85653,                0.88306,                0.67966,                0.62714,                0.46291,                 1.0286,              0.0012649,              0.0012649,              0.0012649
                     60,                0.56534,                0.45062,                 1.0485,                0.88782,                0.88782,                0.89375,                0.69488,                0.58331,                0.43412,                0.99445,              0.0012621,              0.0012621,              0.0012621
                     61,                0.60669,                0.47401,                 1.0766,                0.88566,                0.89674,                0.90091,                0.71327,                0.57768,                0.41353,                0.99618,              0.0012592,              0.0012592,              0.0012592
                     62,                  0.591,                0.46664,                  1.079,                0.88462,                0.92207,                0.92254,                 0.7274,                0.56521,                 0.3965,                 0.9872,              0.0012564,              0.0012564,              0.0012564
                     63,                0.57802,                0.45031,                 1.0632,                0.92727,                 0.8904,                0.93338,                0.74737,                0.52856,                0.39872,                0.97125,              0.0012536,              0.0012536,              0.0012536
                     64,                0.57143,                0.45251,                 1.0579,                0.89594,                0.92055,                0.94425,                0.75021,                0.51352,                 0.3927,                0.96924,              0.0012507,              0.0012507,              0.0012507
                     65,                0.54926,                 0.4253,                 1.0511,                0.92644,                0.93289,                 0.9469,                0.75269,                0.53547,                0.37209,                 0.9744,              0.0012479,              0.0012479,              0.0012479
                     66,                0.55893,                0.44739,                 1.0537,                0.89309,                0.95648,                0.94583,                0.74836,                0.50812,                0.36404,                 0.9613,              0.0012451,              0.0012451,              0.0012451
                     67,                0.56098,                0.45356,                 1.0734,                0.93237,                0.93598,                0.94291,                0.76413,                0.51257,                0.36202,                0.97239,              0.0012423,              0.0012423,              0.0012423
                     68,                0.56323,                0.45821,                 1.0592,                0.95593,                 0.9007,                0.95177,                0.76144,                0.51741,                0.37257,                0.96856,              0.0012394,              0.0012394,              0.0012394
