epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.9704,2.01043,2.82534,2.22022,0.33333,0.27285,0.30308,0.2659,1.20939,3.03573,1.53562,0.000468891,0.000468891,0.000468891
2,26.7217,0.8857,1.0582,1.36551,0.67646,0.6488,0.65987,0.57125,0.81799,1.33434,1.22898,0.000935866,0.000935866,0.000935866
3,36.3002,0.73347,0.79519,1.29358,0.79461,0.83625,0.8056,0.63775,0.61057,0.67816,1.07076,0.00139341,0.00139341,0.00139341
4,45.8953,0.67234,0.66335,1.26944,0.87811,0.90834,0.88988,0.67856,0.57929,0.59961,1.05047,0.00138656,0.00138656,0.00138656
5,55.2428,0.64844,0.59917,1.25856,0.91087,0.94457,0.92811,0.71693,0.56259,0.43115,0.99547,0.00137241,0.00137241,0.00137241
6,64.7303,0.60716,0.54628,1.21726,0.89832,0.95414,0.92624,0.71914,0.5373,0.40989,0.98771,0.00135826,0.00135826,0.00135826
7,74.3283,0.5971,0.51369,1.20247,0.97181,0.96099,0.97259,0.77992,0.50843,0.38046,1.00468,0.00134412,0.00134412,0.00134412
8,83.8952,0.57522,0.48296,1.194,0.94099,0.96671,0.96892,0.78562,0.49386,0.3838,1.0658,0.00132997,0.00132997,0.00132997
9,93.3092,0.57453,0.47312,1.19256,0.971,0.96692,0.97179,0.78706,0.50181,0.37314,1.01596,0.00131582,0.00131582,0.00131582
10,102.922,0.55035,0.44172,1.17765,0.98694,0.96867,0.97929,0.8141,0.47661,0.35618,1.00972,0.00130168,0.00130168,0.00130168
11,112.562,0.55858,0.43959,1.18387,0.98363,0.97416,0.97795,0.80686,0.46972,0.33069,1.01414,0.00128753,0.00128753,0.00128753
12,122.107,0.54941,0.42526,1.1608,0.9474,0.96614,0.96276,0.79483,0.48231,0.34174,0.99954,0.00127338,0.00127338,0.00127338
13,131.837,0.53335,0.40995,1.15435,0.97964,0.97529,0.97626,0.80347,0.48353,0.33871,0.99567,0.00125923,0.00125923,0.00125923
14,141.371,0.52535,0.40723,1.1589,0.98143,0.9653,0.98219,0.8267,0.46084,0.33165,1.014,0.00124509,0.00124509,0.00124509
15,150.751,0.52602,0.39615,1.14643,0.99416,0.96695,0.98231,0.82867,0.45777,0.3147,0.98426,0.00123094,0.00123094,0.00123094
16,160.129,0.5327,0.40178,1.15124,0.96405,0.97124,0.97529,0.81098,0.47395,0.33906,0.98831,0.00121679,0.00121679,0.00121679
17,169.648,0.52507,0.39302,1.12841,0.99173,0.97085,0.98406,0.83488,0.44882,0.3066,0.98265,0.00120265,0.00120265,0.00120265
